target,file,x,y,obsgroup
WISE-0713,jw02473-o059_t008_nircam_clear-f480m,1306,811,3
WISE-0825,jw02473-o061_t010_nircam_clear-f150w,2769,1762,3
WISE-0825,jw02473-o061_t010_nircam_clear-f480m,1313,840,3
WISE-0830,jw02473-o062_t054_nircam_clear-f150w,3147,1697,3
WISE-0830,jw02473-o062_t054_nircam_clear-f480m,1498,810,3
WISE-1206,jw02473-o064_t013_nircam_clear-f150w,2765,1891,4
WISE-1206,jw02473-o064_t013_nircam_clear-f480m,1324,918,4
WISE-1405,jw02473-o065_t015_nircam_clear-f150w,2651,2055,4
WISE-1405,jw02473-o065_t015_nircam_clear-f480m,1268,999,4
WISE-1446,jw02473-o066_t055_nircam_clear-f150w,3007,1921,4
WISE-1446,jw02473-o066_t055_nircam_clear-f480m,1467,927,4
WISE-1541,jw02473-o067_t017_nircam_clear-f150w,2869,1992,4
WISE-1541,jw02473-o067_t017_nircam_clear-f480m,1379,946,4
WISE-1738,jw02473-o069_t019_nircam_clear-f480m,1316,867,0
WISE-1738,jw02473-o069_t019_nircam_clear-f150w,2752,1786,0
