DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
WISEPC J234446.25+103415.8,T9,69.0,15.1,14.6,574,88,23 44 46.57,+10 34 15.4,356.194542,2.7,10.570929,2.1,2017.6,68.0,2.6,946.5,1.3,-30.4,1.0,Kirkpatrick2021a,,1,,WISEA J234446.24+103415.8,,Kirkpatrick2011 | Mace2013a,18.78,0.06,,,19.07,0.11,,,,,K-K--,,17.929,0.116,14.954,0.029,12.345,,,,CCA-,,
WISEPA J180435.40+311706.1,T9.5:,69.5,15.1,14.6,578,88,18 04 35.25,+31 17 06.5,271.146832,2.5,31.285127,2.6,2016.23,62.2,2.7,-254.1,0.9,2.9,0.9,Kirkpatrick2021a,,1,,WISEA J180435.37+311706.2,,Kirkpatrick2011,18.7,0.05,18.88,,19.21,0.11,,,16.86,,KKK-p,,18.083,0.095,14.652,0.018,12.15,,9.321,,CCAA,,
WISE J072312.44+340313.5,T9:,69.0,15.1,14.6,631,88,07 23 12.48,+34 03 11.6,110.802002,2.1,34.053026,2.1,2017.58,60.8,2.1,-3.2,0.8,-348.1,0.9,Kirkpatrick2021a,,1,,WISEA J072312.47+340313.5,,Mace2013a,18.19,0.02,18.21,0.14,18.63,0.06,,,17.06,,PpP-p,,17.876,0.115,14.717,0.024,11.92,,8.155,,CCAA,,
WISEA J133300.03-160754.4,T9,69.0,15.1,14.6,689,88,13 32 59.93,-16 07 55.2,203.249437,3.5,-16.132061,2.9,2017.23,52.8,3.5,-329.0,1.9,-131.9,1.6,Kirkpatrick2021a,,1,,WISEA J133300.03-160754.4,,Kirkpatrick2021a,18.73,0.07,19.05,0.11,18.37,0.13,,,,,VSk--,,17.441,0.086,14.912,0.028,12.409,,9.218,,CCAA,,
WISE J111239.24-385700.7,T9,69.0,14.6,14.1,461,88,11 12 39.60,-38 56 56.5,168.164941,4.7,-38.94906,4.2,2016.82,102.6,3.7,671.5,1.6,674.0,1.5,Kirkpatrick2021a,,1,,WISEA J111239.25-385700.5,,Tinney2018,20.36,0.33,20.73,0.27,20.4,0.25,,,,,VSS--,,18.26,0.197,14.504,0.03,12.185,,8.933,,CCAA,,
WISE J094305.98+360723.5,T9.5,69.5,14.6,14.1,468,88,09 43 06.20,+36 07 22.0,145.776141,2.8,36.122541,3.0,2015.36,97.1,2.9,669.5,1.2,-501.2,1.4,Kirkpatrick2021a,,1,,WISEA J094306.00+360723.3,,Cushing2014,19.77,0.03,19.84,,20.32,0.04,,,18.54,,sBs-B,,18.594,0.345,14.419,0.028,12.289,0.394,8.831,,CCAA,,
WISE J081117.81-805141.3,T9.5:,69.5,14.6,14.1,479,88,08 11 18.23,-80 51 40.9,122.8259755,,-80.8613678,,2015.4,99.1,7.7,288.4,6.8,-54.0,4.7,Tinney2014,,1,,WISEA J081117.95-805141.4,,Mace2013a,19.9,0.18,19.9,0.18,19.99,0.14,20.49,0.2,,,mSkD-,,17.863,0.074,14.432,0.014,12.638,0.32,9.214,0.382,CCAA,,
WISEPC J232519.54-410534.9,T9 pec,69.0,14.6,14.1,503,88,23 25 20.08,-41 05 35.1,351.3331034,,-41.0930707,,2015.4,108.4,3.7,836.8,6.7,-17.5,8.8,Tinney2014,,1,,WISEA J232519.55-410535.1,,Kirkpatrick2011,19.75,0.05,,,19.22,0.11,,,,,t-K--,,17.388,0.089,14.212,0.024,12.263,,,,CCA-,,
WISEPA J161441.45+173936.7,T9,69.0,14.6,14.1,510,88,16 14 41.74,+17 39 32.4,243.673745,2.5,17.659099,2.6,2016.19,98.2,2.7,550.6,1.0,-477.1,1.0,Kirkpatrick2021a,,1,,WISEA J161441.47+173935.4,,Kirkpatrick2011,19.08,0.06,,,19.31,0.04,,,,,K-k--,,17.663,0.116,14.301,0.027,12.244,,9.124,,CCAA,,
WISE J003829.05+275852.1,T9,69.0,14.6,14.1,545,88,00 38 29.06,+27 58 52.4,9.621131,1.9,27.981211,1.9,2015.39,88.2,2.0,-12.0,0.9,92.4,1.0,Kirkpatrick2021a,,1,,WISEA J003829.06+275852.0,,Mace2013a,18.61,0.02,,,18.92,0.04,,,,,m-k--,,17.503,0.074,14.418,0.019,12.379,0.332,8.91,,CCAA,,
